pet_type,perceived_role_of_the_pet,interaction_frequency,daily_pet_care_time_minutes,pet_friendly_environment,ccas_q1,ccas_q2,ccas_q3,ccas_q4,ccas_q5,ccas_q6,ccas_q7,ccas_q8,ccas_q9,ccas_q10,ccas_q11,ccas_q12,ccas_q13,pss_q1,pss_q,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,owner_age,owner_gender,owner_living_situation,owner_employment_status,owner_martial_status,owner_family_income,western_province,pss_score,stress_level,ccas_score,comfort_level
Dog,Family member,Daily,121-180,Yes,4,4,3,4,4,1,3,3,1,3,4,4,4,0,2,1,4,1,0,3,3,1,1,18,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,42,High Attachment
Dog,Friend,Daily,61-120,Yes,3,3,3,4,3,1,4,3,0,3,3,3,3,1,2,1,2,3,0,2,3,2,1,27,Female,Living with partner,Employed(full),married,"350,000 -700,000",Yes,17,Moderate,36,Moderate Attachment
Dog,Family member,Daily,121-180,Yes,2,3,4,4,3,1,4,3,0,3,3,4,4,0,0,0,4,4,0,4,4,0,0,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,38,Moderate Attachment
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,0,4,3,0,3,4,3,4,1,2,2,2,3,2,4,3,1,2,25,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,22,Moderate,38,Moderate Attachment
Dog,Friend,Weekly,61-120,No,3,3,3,3,2,1,3,3,1,3,4,3,3,1,2,1,2,3,1,2,3,2,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,35,Moderate Attachment
Dog,Family member,Daily,31-60,Yes,3,4,3,4,3,0,3,4,1,4,3,4,3,3,2,3,4,3,2,3,3,1,2,22,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes,26,Moderate,39,High Attachment
Dog,Family member,Weekly,121-180,Yes,3,3,3,3,4,1,4,3,0,3,4,3,4,1,2,2,2,3,2,3,2,1,2,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,20,Moderate,38,Moderate Attachment
Dog,Friend,Daily,61-120,Yes,3,3,3,4,4,1,4,3,0,3,4,3,4,1,2,2,2,3,2,3,2,1,2,25,Female,Living with partner,Student,married,"150,000 -350,000",Yes,20,Moderate,39,High Attachment
Dog,Family member,Monthly,0-15,No,3,2,4,2,3,2,2,3,2,3,2,3,3,1,1,2,3,2,1,2,3,2,1,25,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,34,Moderate Attachment
Dog,Friend,Daily,31-60,Yes,3,4,3,4,3,0,3,3,0,3,4,3,3,1,2,1,2,3,1,2,3,1,2,26,Male,Living with roommate,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,36,Moderate Attachment
Dog,Family member,Daily,121-180,Yes,4,4,4,3,3,1,3,4,1,3,3,4,4,0,1,2,2,3,0,4,3,2,1,22,Female,Living Alone,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,0,3,4,1,4,3,4,3,0,0,0,4,4,1,3,3,1,1,18,Female,Living with family,Student,married,"350,000 -700,000",Yes,17,Moderate,39,High Attachment
Dog,Family member,Daily,121-180,Yes,3,3,4,4,3,0,3,4,1,4,3,4,3,0,0,1,3,4,0,3,3,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"150,000 -350,000",Yes,14,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,3,3,0,4,4,0,4,4,4,4,1,0,1,4,3,0,3,4,1,0,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes,17,Moderate,42,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,3,1,4,4,0,3,3,3,4,1,1,1,4,4,0,4,4,0,1,24,Female,Living with family,"Student, Employed(part)",unmarried,"150,000 -350,000",Yes,20,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,4,0,4,4,4,4,0,1,0,3,4,1,4,3,0,1,23,Male,Living Alone,Student,unmarried,"Above 700,000",Yes,17,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,1,4,3,0,3,4,4,4,0,1,0,3,2,0,4,4,2,0,21,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,16,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,0,3,3,1,3,3,3,3,0,0,1,3,4,0,3,3,0,0,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,14,Moderate,39,High Attachment
